ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_ENV_15,Environnement,P7,PRIMARY,"Votre entourage proche (partenaire, famille) soutient-il vos objectifs de transformation physique ?",Échelle 1-10,1 = Aucun soutien ou opposition active | 10 = Soutien total actif,ALWAYS,NEVER,SOCIAL_SUPPORT,0.88,Social support & adherence (Teixeira et al. 2012)
Q_ENV_16,Environnement,P7,SECONDARY,Vivez-vous seul(e) ou avec d'autres personnes ?,Choix unique,Seul(e) | Couple sans enfants | Couple avec enfants | Colocation | Famille élargie | Autre,ALWAYS,NEVER,LIVING_SITUATION,0.75,Living arrangement & health behaviors (Umberson 1992)
Q_ENV_17,Environnement,P7,SECONDARY,[Si vie commune] Ces personnes ont-elles des habitudes alimentaires/lifestyle compatibles avec vos objectifs ?,Choix unique,"N/A - vie seul(e) | Oui, totalement compatibles | Compatibles modérément | Peu compatibles | Incompatibles (conflit)","IF Q_ENV_16 != ""Seul(e)""","IF Q_ENV_16 = ""Seul(e)""",HOUSEHOLD_ALIGNMENT,0.82,Household food environment (Gorin et al. 2008)
Q_ENV_18,Environnement,P7,SECONDARY,"Avez-vous des amis/collègues qui partagent des objectifs similaires (fitness, santé) ?",Choix unique,"Oui, plusieurs | Oui, quelques-uns | Un ou deux | Aucun",ALWAYS,NEVER,PEER_SUPPORT,0.78,Peer support & exercise adherence (Carron et al. 1996)
Q_ENV_19,Environnement,P7,SECONDARY,"À quelle fréquence êtes-vous dans des situations sociales où la nourriture/alcool sont difficiles à gérer (restaurants, soirées, événements professionnels) ?",Choix unique,Rare (<2x/mois) | Occasionnel (1x/semaine) | Fréquent (2-3x/semaine) | Très fréquent (4+x/semaine),ALWAYS,NEVER,RC_ENV_03,0.80,Social eating challenges (Herman et al. 2003)
Q_ENV_20,Environnement,P7,SECONDARY,Ressentez-vous de la pression sociale pour manger/boire dans ces situations ?,Échelle 1-10,"1 = Aucune pression, autonomie totale | 10 = Pression énorme, refus difficile","IF Q_ENV_19 IN [""Fréquent"",""Très fréquent""]","IF Q_ENV_19 NOT IN [""Fréquent"",""Très fréquent""]",SOCIAL_PRESSURE,0.75,Social pressure & eating (Herman et al. 2003)
Q_ENV_21,Environnement,P7,SECONDARY,"Quelqu'un dans votre entourage sabote-t-il activement vos efforts (critique, tente, décourage) ?",Choix unique,"Non, aucun sabotage | Oui, critiques passives | Oui, sabotage actif occasionnel | Oui, sabotage actif fréquent",ALWAYS,NEVER,SOCIAL_SABOTAGE,0.85,Social sabotage barriers (Kiernan et al. 2012)
Q_ENV_22,Environnement,P7,SECONDARY,Avez-vous quelqu'un à qui parler de vos défis/frustrations liés à votre transformation ?,Choix unique,"Oui, plusieurs personnes | Oui, une personne de confiance | Pas vraiment | Non, personne",ALWAYS,NEVER,EMOTIONAL_SUPPORT,0.78,Emotional support & adherence (Cohen & Wills 1985)
Q_ENV_23,Environnement,P7,SECONDARY,Faites-vous partie d'une communauté (en ligne ou réelle) autour fitness/santé ?,Choix unique,"Oui, très actif | Oui, modérément actif | Membre passif | Non, aucune communauté",ALWAYS,NEVER,COMMUNITY_SUPPORT,0.72,Community support & behavior change (Ballew et al. 2013)
Q_ENV_24,Environnement,P7,SECONDARY,Seriez-vous prêt(e) à communiquer vos objectifs/progrès à quelqu'un pour accountability ?,Choix unique,"Oui, déjà en place | Oui, ouvert à l'idée | Neutre | Préfère garder privé | Non, absolument pas",ALWAYS,NEVER,ACCOUNTABILITY_READINESS,0.75,Accountability & adherence (Wing & Jeffery 1999)
Q_ENV_25,Environnement,P7,PRIMARY,Qui fait les courses alimentaires dans votre foyer ?,Choix unique,Moi uniquement | Moi principalement | Partagé équitablement | Autre personne principalement | Autre personne uniquement | Vie seul(e) - moi,ALWAYS,NEVER,FOOD_PROCUREMENT_CONTROL,0.82,Food procurement control (Gorin et al. 2008)
Q_ENV_26,Environnement,P7,PRIMARY,Qui prépare les repas dans votre foyer ?,Choix unique,Moi uniquement | Moi principalement | Partagé | Autre personne principalement | Autre personne uniquement | Repas extérieurs majoritaires,ALWAYS,NEVER,MEAL_PREP_CONTROL,0.85,Meal preparation control (Larson et al. 2006)
Q_ENV_27,Environnement,P7,SECONDARY,"Combien de repas par semaine mangez-vous à l'extérieur (restaurants, cantines, fast-food, livraison) ?",Numérique,Repas/semaine (0-21),ALWAYS,NEVER,RC_ENV_03,0.80,Restaurant frequency & diet quality (Lachat et al. 2012)
Q_ENV_28,Environnement,P7,SECONDARY,"Avez-vous accès facilement à aliments sains (supermarchés qualité, marchés) ou environnement alimentaire limité ?",Choix unique,Accès excellent (multiples options) | Accès bon | Accès modéré | Accès limité (food desert) | Très limité,ALWAYS,NEVER,FOOD_ENVIRONMENT,0.72,Food environment & diet (Walker et al. 2010)
Q_ENV_29,Environnement,P7,SECONDARY,"Y a-t-il constamment des aliments ""tentants"" (snacks, sucreries, junk food) accessibles chez vous ?",Choix unique,"Non, environnement contrôlé | Quelques aliments occasionnels | Modérément présents | Très présents | Omniprésents",ALWAYS,NEVER,HOME_FOOD_ENVIRONMENT,0.80,Home food environment (Wansink 2006)
Q_ENV_30,Environnement,P7,SECONDARY,Avez-vous un budget alimentaire limité qui contraint vos choix nutritionnels ?,Échelle 1-10,"1 = Aucune contrainte budget | 10 = Contrainte majeure, choix très limités",ALWAYS,NEVER,FINANCIAL_CONSTRAINTS,0.75,Food insecurity & diet quality (Laraia 2013)
Q_ENV_31,Environnement,P7,SECONDARY,"Disposez-vous d'équipement cuisine adéquat pour meal prep (frigo, four, micro-ondes, contenants...) ?",Choix unique,"Oui, équipement complet | Oui, équipement basique suffisant | Équipement limité | Équipement très limité/absent",ALWAYS,NEVER,MEAL_PREP_CAPABILITY,0.70,Kitchen equipment & cooking (Condrasky & Hegler 2010)
Q_ENV_32,Environnement,P7,SECONDARY,"Avez-vous des compétences culinaires de base (cuisiner protéines, légumes, repas simples) ?",Échelle 1-10,1 = Aucune compétence cuisine | 10 = Excellent cuisinier/cuisinière,ALWAYS,NEVER,COOKING_SKILLS,0.72,Cooking skills & diet quality (Hartmann et al. 2013)
Q_ENV_33,Environnement,P7,SECONDARY,Combien de temps pouvez-vous consacrer RÉALISTEMENT à meal prep par semaine ?,Choix unique,<1h | 1-2h | 2-3h | 3-4h | 4h+,ALWAYS,NEVER,MEAL_PREP_TIME,0.78,Meal prep time & adherence (Larson et al. 2006)
Q_ENV_34,Environnement,P7,SECONDARY,"Y a-t-il des occasions sociales OBLIGATOIRES avec nourriture (fêtes familiales, événements culturels/religieux) fréquentes ?",Choix unique,Rare (<1x/mois) | Occasionnel (1-2x/mois) | Fréquent (1x/semaine) | Très fréquent (plusieurs/semaine),ALWAYS,NEVER,OBLIGATORY_SOCIAL_EATING,0.75,Cultural food events (Satia et al. 2001)
