ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_MET_01f,Métabolique,P1,SECONDARY,"[DEEP DIVE] Y a-t-il des antécédents de diabète type 2 ou pré-diabète dans votre famille proche (parents, fratrie) ?",Choix unique,"Oui, diabète type 2 diagnostiqué | Oui, pré-diabète | Non, aucun | Ne sais pas",IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.65,Genetic predisposition diabetes (Meigs et al. 2008)
Q_MET_01g,Métabolique,P1,SECONDARY,[DEEP DIVE] Avez-vous déjà fait mesurer votre glycémie à jeun ou votre HbA1c ?,Choix unique,"Oui, glycémie à jeun normale (<1.00 g/L ou 5.6 mmol/L) | Oui, glycémie à jeun élevée (pré-diabète) | Oui, HbA1c normale (<5.7%) | Oui, HbA1c élevée (≥5.7%) | Non, jamais mesuré",IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.90,Prediabetes criteria (ADA 2021)
Q_MET_01h,Métabolique,P1,SECONDARY,"[DEEP DIVE] Consommez-vous fréquemment des boissons sucrées ou snacks sucrés pour ""tenir le coup"" énergétiquement ?",Choix unique,Jamais | Rare (<1x/semaine) | Occasionnel (1-3x/semaine) | Fréquent (4-6x/semaine) | Quotidien (1x/jour+),IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.75,Sugar-sweetened beverages & insulin resistance (Malik et al. 2010)
Q_MET_01i,Métabolique,P1,SECONDARY,[DEEP DIVE] Comment votre énergie évolue-t-elle si vous sautez un repas ?,Choix unique,"Effondrement rapide, impossible de fonctionner | Baisse notable mais gérable | Légère baisse | Aucun changement ou amélioration | N'ai jamais sauté de repas",IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.70,Meal skipping & glucose homeostasis (Nas et al. 2017)
Q_MET_01j,Métabolique,P1,SECONDARY,[DEEP DIVE] Votre énergie est-elle meilleure le matin au réveil (avant petit-déj) ou après avoir mangé ?,Choix unique,Bien meilleure au réveil (avant manger) | Légèrement meilleure au réveil | Pas de différence | Meilleure après avoir mangé | Variable,IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.65,Dawn phenomenon (Monnier et al. 2002)
Q_MET_16,Métabolique,P1,SECONDARY,Combien de temps pouvez-vous rester sans manger le matin (après réveil) avant de ressentir une faim urgente ou une baisse d'énergie majeure ?,Choix unique,<1h (besoin urgent petit-déj) | 1-2h | 2-3h | 3-4h | 4h+ (facilement),ALWAYS,NEVER,RC_MET_03,0.75,Metabolic flexibility (Galgani & Ravussin 2008)
Q_MET_17,Métabolique,P1,SECONDARY,"Avez-vous déjà pratiqué le jeûne intermittent (ex: 16/8, sauter petit-déj) pendant au moins 2 semaines ?",Choix unique,"Oui, très bien toléré | Oui, moyennement toléré | Oui, très mal toléré (arrêté) | Non, jamais essayé",ALWAYS,NEVER,RC_MET_03,0.70,Intermittent fasting & metabolic adaptation (Tinsley & La Bounty 2015)
Q_MET_18,Métabolique,P1,SECONDARY,"Comment votre performance physique (entraînement, sport) est-elle affectée si vous vous entraînez à jeun (sans avoir mangé 3h+) ?",Choix unique,"Excellente, aucun problème | Légèrement réduite mais OK | Très réduite, difficile | Impossible, énergie effondrée | N'ai jamais essayé","IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",RC_MET_03,0.75,Fasted training & substrate utilization (De Bock et al. 2008)
Q_MET_19,Métabolique,P1,SECONDARY,"Lorsque vous réduisez fortement les glucides pendant quelques jours, comment vous sentez-vous ?",Choix unique,"Très bien, énergie excellente | Bien après adaptation 2-3 jours | Fatigue/irritabilité persistantes | Effondrement énergétique majeur | N'ai jamais testé",ALWAYS,NEVER,RC_MET_03,0.70,Low-carb adaptation (Volek et al. 2015)
Q_MET_20,Métabolique,P1,SECONDARY,Ressentez-vous une différence d'énergie notable selon que vous consommez des glucides le soir ou non ?,Choix unique,"Oui, bien meilleure énergie matin si glucides soir | Oui, meilleure énergie si PAS glucides soir | Aucune différence perceptible | N'ai jamais prêté attention",ALWAYS,NEVER,RC_MET_03,0.60,Carb timing & circadian (Sofer et al. 2011)
Q_MET_21,Métabolique,P1,SECONDARY,Combien de temps après un repas riche en glucides ressentez-vous à nouveau la faim ?,Choix unique,<1h | 1-2h | 2-3h | 3-4h | 4h+,ALWAYS,NEVER,RC_MET_01,0.75,Satiety & macronutrient composition (Blundell & MacDiarmid 1997)
Q_MET_22,Métabolique,P1,SECONDARY,Combien de temps après un repas riche en protéines et graisses (faible glucides) ressentez-vous la faim ?,Choix unique,<2h | 2-3h | 3-4h | 4-5h | 5h+,ALWAYS,NEVER,RC_MET_03,0.75,Protein-induced satiety (Westerterp-Plantenga et al. 2009)
Q_MET_23,Métabolique,P1,SECONDARY,Avez-vous remarqué des envies spécifiques (cravings) pour certains types d'aliments ?,Choix multiple,"Sucré (chocolat, desserts...) | Salé (chips, crackers...) | Gras (fromage, charcuterie...) | Glucides (pain, pâtes, riz...) | Aucune envie particulière",ALWAYS,NEVER,RC_MET_01,0.65,Food cravings neurophysiology (Pelchat 2002)
Q_MET_24,Métabolique,P1,SECONDARY,Ces envies surviennent principalement :,Choix multiple,En fin d'après-midi (16h-19h) | En soirée (après dîner) | Pendant/après stress | Pendant/après effort physique | Pas de pattern clair | N'ai pas d'envies,"IF Q_MET_23 != ""Aucune envie particulière""","IF Q_MET_23 = ""Aucune envie particulière""",RC_MET_01,0.65,Stress & food cravings (Dallman 2010)
Q_MET_25,Métabolique,P1,SECONDARY,"Quelle est votre consommation quotidienne moyenne de caféine (café, thé, energy drinks) ?",Choix unique,Aucune | 1 tasse café/jour | 2-3 tasses café/jour | 4-5 tasses café/jour | 6+ tasses ou energy drinks,ALWAYS,NEVER,CAFFEINE_DEPENDENCY,0.60,Caffeine & energy regulation (Heckman et al. 2010)
