ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_REC_01c,Hormono-Récupération,P3,SECONDARY,[DEEP DIVE] Ressentez-vous une irritabilité ou impatience accrues comparé à votre état normal ?,Échelle 1-10,"1 = Non, patience normale | 10 = Oui, irritabilité constante incontrôlable",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.75,Irritability as stress marker (Koh et al. 2001)
Q_REC_01d,Hormono-Récupération,P3,SECONDARY,"[DEEP DIVE] Avez-vous remarqué une augmentation de comportements d'évitement (procrastination, isolement, consommation alcool/nourriture...) ?",Choix multiple,Procrastination accrue | Isolement social | Consommation alcool augmentée | Alimentation émotionnelle | Excès écrans/réseaux sociaux | Évitement responsabilités | Aucun comportement d'évitement,IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.80,Avoidance coping (Holahan & Moos 1987)
Q_REC_01e,Hormono-Récupération,P3,PRIMARY,[DEEP DIVE] Ressentez-vous des symptômes physiques que vous attribuez au stress ?,Choix multiple,"Tensions musculaires (nuque, épaules, mâchoire) | Maux de tête fréquents | Problèmes digestifs (ballonnements, diarrhée, constipation) | Palpitations cardiaques | Oppression thoracique | Vertiges | Aucun symptôme physique",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.85,Somatic symptoms stress (Koh et al. 2004)
Q_REC_01f,Hormono-Récupération,P3,SECONDARY,[DEEP DIVE] Votre libido a-t-elle diminué de manière notable ces derniers mois ?,Choix unique,"Non, inchangée | Oui, légère baisse | Oui, baisse marquée | Oui, quasi inexistante | Préfère ne pas répondre",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.75,Stress & libido (Hamilton & Meston 2013)
Q_REC_01g,Hormono-Récupération,P3,SECONDARY,[DEEP DIVE] Avez-vous des pensées intrusives/ruminations mentales difficiles à arrêter ?,Échelle 1-10,"1 = Jamais, contrôle pensées facile | 10 = Constamment, ruminations incontrôlables",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.82,Rumination & stress (Nolen-Hoeksema et al. 2008)
Q_REC_01h,Hormono-Récupération,P3,SECONDARY,"[DEEP DIVE] Ressentez-vous une sensation de ""fatigue nerveuse"" (épuisé mentalement mais tendu, pas relaxé) ?",Échelle 1-10,"1 = Jamais | 10 = État permanent, wired but tired",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.88,Cortisol dysregulation pattern (McEwen 2008)
Q_REC_01i,Hormono-Récupération,P3,SECONDARY,"[DEEP DIVE] Votre tolérance à l'effort physique a-t-elle diminué (performances baisse, récupération lente, fatigue rapide) ?",Choix unique,"Non, performances stables/progression | Oui, légère baisse | Oui, baisse notable | Oui, effondrement performances | N/A - pas d'entraînement régulier","IF Q_REC_01 >= 7 AND Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_REC_01 < 7 OR Q_PROFIL_03 = ""Jamais / Irrégulier""",RC_REC_01,0.85,Overtraining & HPA axis (Cadegiani & Kater 2017)
Q_REC_01j,Hormono-Récupération,P3,SECONDARY,"[DEEP DIVE] Avez-vous l'impression que votre système immunitaire est affaibli (rhumes fréquents, infections, cicatrisation lente) ?",Choix unique,"Non, santé normale | Oui, 1-2 rhumes/an plus que d'habitude | Oui, malade fréquemment (>4x/an) | Oui, infections récurrentes | N'ai pas remarqué",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.78,Stress & immune function (Segerstrom & Miller 2004)
Q_REC_01k,Hormono-Récupération,P3,SECONDARY,[DEEP DIVE] Ressentez-vous une anhédonie (perte plaisir activités habituellement appréciées) ?,Échelle 1-10,"1 = Non, plaisir intact | 10 = Oui, plus rien ne procure plaisir",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.90,Anhedonia as burnout marker (Treadway & Zald 2011)
Q_REC_01l,Hormono-Récupération,P3,SECONDARY,"[DEEP DIVE] Avez-vous déjà consulté un professionnel de santé mentale (psychologue, psychiatre) pour votre stress/anxiété ?",Choix unique,"Oui, actuellement suivi | Oui, dans le passé | Non, jamais | Non, mais envisage sérieusement",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.85,Mental health support necessity
Q_REC_01m,Hormono-Récupération,P3,SECONDARY,"[DEEP DIVE] Prenez-vous actuellement des médicaments pour anxiété, dépression, ou sommeil ?",Choix unique,"Non, aucun | Oui, anxiolytiques (benzodiazépines...) | Oui, antidépresseurs (ISRS...) | Oui, somnifères | Oui, plusieurs | Préfère ne pas répondre",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.88,Medication context assessment
Q_REC_01n,Hormono-Récupération,P3,SECONDARY,[DEEP DIVE] À quelle fréquence avez-vous des pensées négatives sur vous-même ou votre capacité à réussir ?,Choix unique,Jamais | Rare | Occasionnel | Fréquent (plusieurs fois/sem) | Quotidien,IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.82,Negative self-talk & stress (Beck 1979)
Q_REC_01o,Hormono-Récupération,P3,SECONDARY,[DEEP DIVE] Avez-vous un sentiment de perte de sens/motivation dans votre vie en général ?,Échelle 1-10,"1 = Non, sens/motivation clairs | 10 = Oui, total perte sens/direction",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.85,"Existential distress (Frankl 1959, Logotherapy)"
Q_REC_01p,Hormono-Récupération,P3,PRIMARY,"[DEEP DIVE - CRITIQUE] Avez-vous eu des pensées d'auto-sabotage ou, dans les cas extrêmes, pensées suicidaires ?",Choix unique,"Non, jamais | Pensées auto-sabotage occasionnelles | Pensées suicidaires passagères | Pensées suicidaires fréquentes | Préfère ne pas répondre",IF Q_REC_01 >= 8,IF Q_REC_01 < 8,MENTAL_HEALTH_CRISIS,0.98,Suicidal ideation screening (Beck et al. 1979) - URGENT REFERRAL if positive
Q_REC_30,Hormono-Récupération,P3,SECONDARY,Ressentez-vous une fatigue qui ne s'améliore pas malgré le repos (fatigue chronique) ?,Échelle 1-10,"1 = Non, repos efficace | 10 = Oui, fatigue permanente insensible au repos",ALWAYS,NEVER,RC_REC_01,0.85,Allostatic load & chronic fatigue (Juster et al. 2010)
Q_REC_31,Hormono-Récupération,P3,SECONDARY,"Avez-vous des variations d'énergie marquées au cours de la journée avec ""crashes"" d'énergie ?",Choix unique,"Non, énergie stable | Oui, 1 crash/jour (après-midi typiquement) | Oui, plusieurs crashes/jour | Oui, état permanent faible énergie",ALWAYS,NEVER,RC_REC_01,0.75,Cortisol circadian dysregulation (Clow et al. 2010)
Q_REC_32,Hormono-Récupération,P3,PRIMARY,Comment décririez-vous votre niveau d'énergie au réveil (avant petit-déjeuner/caféine) ?,Échelle 1-10,"1 = Épuisement total, impossible se lever | 10 = Énergie excellente, réveil dynamique",ALWAYS,NEVER,RC_REC_01,0.88,Morning cortisol awakening response (Pruessner et al. 1997)
Q_REC_33,Hormono-Récupération,P3,SECONDARY,"Combien de temps après le réveil vous sentez-vous ""vraiment réveillé"" et opérationnel ?",Choix unique,Immédiatement au réveil | 15-30min | 30-60min | 1-2h | >2h (besoin caféine massive),ALWAYS,NEVER,RC_REC_01,0.75,Sleep inertia (Tassi & Muzet 2000)
Q_REC_34,Hormono-Récupération,P3,SECONDARY,"Ressentez-vous un ""second souffle"" d'énergie en fin de soirée (22h-minuit) qui rend l'endormissement difficile ?",Choix unique,"Jamais, fatigue naturelle soirée | Occasionnellement | Fréquemment (3-4x/sem) | Quasi quotidien",ALWAYS,NEVER,RC_REC_01,0.82,Evening cortisol elevation (Kudielka et al. 2007)
Q_REC_35,Hormono-Récupération,P3,SECONDARY,"Avez-vous des envies de sucre ou stimulants (caféine) pour ""tenir"" énergétiquement ?",Choix unique,Jamais | Rare (<2x/sem) | Fréquent (3-5x/sem) | Quotidien | Plusieurs fois/jour,ALWAYS,NEVER,RC_REC_01,0.70,Sugar cravings & HPA dysregulation (Dallman 2010)
Q_REC_36,Hormono-Récupération,P3,SECONDARY,Ressentez-vous des vertiges ou étourdissements en passant de position assise à debout (hypotension orthostatique) ?,Choix unique,Jamais | Rare | Occasionnel | Fréquent | Quotidien,ALWAYS,NEVER,RC_REC_01,0.68,Orthostatic hypotension & adrenal fatigue (Teitelbaum et al. 2001)
Q_REC_37,Hormono-Récupération,P3,SECONDARY,Avez-vous remarqué une sensibilité accrue au froid (frilosité inhabituelle) ?,Choix unique,"Non, tolérance normale | Oui, légèrement | Oui, très frileux/frileuse | Oui, constamment gelé(e)",ALWAYS,NEVER,RC_REC_01,0.65,Metabolic downregulation & temperature (Rosenbaum et al. 2008)
Q_REC_38,Hormono-Récupération,P3,SECONDARY,Votre pression artérielle est-elle naturellement basse ou avez-vous des antécédents d'hypotension ?,Choix unique,"Non, TA normale | Oui, TA basse diagnostiquée | Oui, symptômes hypotension fréquents | Ne sais pas / Jamais mesuré",ALWAYS,NEVER,RC_REC_01,0.60,Hypotension & adrenal dysregulation (Teitelbaum et al. 2001)
Q_REC_39,Hormono-Récupération,P3,SECONDARY,"Avez-vous des taches brunes/foncées (hyperpigmentation) au niveau des plis cutanés, cicatrices, ou gencives ?",Choix unique,"Non | Oui, léger | Oui, notable | N'ai jamais remarqué",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,ADDISON_SCREENING,0.55,"Addison disease screening (though rare, hyperpigmentation marker)"
