ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_STM_20,Stimulus,P8,SECONDARY,[AVANCÉ] Utilisez-vous la spécialisation (phases focus un muscle/qualité spécifique) ?,Choix unique,"N/A - débutant/intermédiaire | Oui, blocs spécialisation planifiés | Oui, quand nécessaire | Non, approche équilibrée toujours","IF Q_PROFIL_03 IN ["">18 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN ["">18 mois"","">36 mois""]",SPECIALIZATION,0.72,Specialization phases (Israetel et al. 2020)
Q_STM_21,Stimulus,P8,SECONDARY,[AVANCÉ] Intégrez-vous du travail mobilité/prehab ciblé ?,Choix unique,"N/A - débutant | Oui, protocole structuré régulier | Oui, quand douleurs | Occasionnellement | Jamais","IF Q_PROFIL_03 IN ["">18 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN ["">18 mois"","">36 mois""]",PREHAB_MOBILITY,0.75,Injury prevention (Lauersen et al. 2014)
Q_STM_22,Stimulus,P8,SECONDARY,[AVANCÉ] Avez-vous des faiblesses/points faibles musculaires identifiés que vous adressez spécifiquement ?,Choix unique,"N/A - débutant/intermédiaire | Oui, protocole correctif en place | Oui, identifiés mais non adressés | Non, développement équilibré | Ne sais pas","IF Q_PROFIL_03 IN ["">18 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN ["">18 mois"","">36 mois""]",WEAK_POINT_TRAINING,0.70,Weak point specialization (Nuckols et al. 2019)
Q_STM_23,Stimulus,P8,PRIMARY,Ressentez-vous des douleurs articulaires/tendineuses chroniques liées à l'entraînement ?,Choix unique,N/A - pas training | Aucune | Douleurs mineures occasionnelles | Douleurs modérées fréquentes | Douleurs sévères limitantes,"IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",JOINT_PAIN,0.85,Overuse injuries (DiFiori et al. 2014)
Q_STM_24,Stimulus,P8,PRIMARY,Avez-vous déjà subi des blessures significatives liées à l'entraînement (nécessitant arrêt >2 semaines) ?,Numérique,Nombre blessures (0-20),"IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",INJURY_HISTORY,0.88,Injury history & risk (Hägglund et al. 2006)
Q_STM_25,Stimulus,P8,SECONDARY,[Si blessures] Quelle était la nature principale de ces blessures ?,Choix multiple,"N/A - pas blessures | Tendineuses (tendinites) | Articulaires | Musculaires (déchirures, claquages) | Dos/lombaires | Épaules | Genoux | Autre",IF Q_STM_24 >= 1,IF Q_STM_24 = 0,INJURY_TYPE,0.80,Injury patterns (Keogh & Winwood 2017)
Q_STM_26,Stimulus,P8,SECONDARY,Ressentez-vous que votre volume actuel est : ,Choix unique,N/A - pas training | Trop faible (sous-stimulation) | Optimal (progression + récupération) | Légèrement excessif | Très excessif (surtraining),"IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",RC_STM_01,0.85,Volume tolerance (Schoenfeld et al. 2019)
Q_STM_27,Stimulus,P8,SECONDARY,Votre qualité de sommeil est-elle affectée négativement les jours post-entraînement ?,Choix unique,"N/A - pas training | Non, sommeil normal | Oui, légèrement | Oui, modérément | Oui, fortement perturbé","IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",RC_STM_01,0.78,Overreaching & sleep (Hausswirth et al. 2014)
Q_STM_28,Stimulus,P8,SECONDARY,Ressentez-vous une baisse de libido/fonction sexuelle depuis intensification training ?,Choix unique,"N/A - pas training | Non, inchangé | Oui, légère baisse | Oui, baisse marquée | Préfère ne pas répondre","IF Q_PROFIL_03 IN [""12-18 mois"",""18-36 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN [""12-18 mois"",""18-36 mois"","">36 mois""]",RC_STM_01,0.82,Overtraining & hormones (Hackney et al. 2017)
Q_STM_29,Stimulus,P8,SECONDARY,Avez-vous des courbatures CONSTANTES qui ne disparaissent jamais complètement ?,Choix unique,"N/A - pas training | Non, récupération normale | Oui, courbatures persistantes modérées | Oui, courbatures sévères constantes","IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",RC_STM_01,0.80,Chronic DOMS & overtraining (Meeusen et al. 2013)
Q_STM_30,Stimulus,P8,SECONDARY,Ressentez-vous un déclin progressif des performances malgré efforts constants/accrus ?,Choix unique,"N/A - pas training | Non, progression normale | Stagnation | Oui, déclin léger | Oui, déclin marqué","IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",RC_STM_01,0.90,Performance decrement overtraining (Halson & Jeukendrup 2004)
